City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,natal,-5.795,-35.2094,25.12,78,20,4.12,BR,2024-08-08 22:46:57
1,udachny,66.4167,112.4,9.84,88,100,4.79,RU,2024-08-08 22:46:59
2,kodiak,57.79,-152.4072,13.73,67,100,5.66,US,2024-08-08 22:47:00
3,blackmans bay,-43.0167,147.3167,11.4,73,72,0.89,AU,2024-08-08 22:47:01
4,iqaluit,63.7506,-68.5145,11.85,81,100,5.14,CA,2024-08-08 22:47:03
5,christchurch,-43.5333,172.6333,8.28,88,100,5.14,NZ,2024-08-08 22:45:06
6,dudinka,69.4058,86.1778,6.7,76,1,6.95,RU,2024-08-08 22:43:09
7,stanley,54.868,-1.6985,17.38,94,40,3.09,GB,2024-08-08 22:47:06
8,grytviken,-54.2811,-36.5092,-15.47,76,17,7.02,GS,2024-08-08 22:47:08
9,adamstown,-25.066,-130.1015,22.03,76,56,10.18,PN,2024-08-08 22:47:09
10,hawaiian paradise park,19.5933,-154.9731,28.26,70,75,3.09,US,2024-08-08 22:47:10
11,timbiras,-4.2553,-43.9406,27.62,41,57,0.65,BR,2024-08-08 22:47:12
12,palasa,18.7667,84.4167,27.39,82,100,1.59,IN,2024-08-08 22:47:13
13,nar'yan-mar,67.6713,53.087,6.14,84,21,1.89,RU,2024-08-08 22:47:14
14,constantia,44.1833,28.65,18.38,73,0,2.98,RO,2024-08-08 22:44:05
15,ushuaia,-54.8,-68.3,4.81,81,75,1.54,AR,2024-08-08 22:47:17
16,weno,7.4515,151.8468,28.97,79,75,2.57,FM,2024-08-08 22:47:18
17,port-aux-francais,-49.35,70.2167,2.13,74,87,9.14,TF,2024-08-08 22:47:19
18,afaahiti,-17.75,-149.2833,26.93,86,32,5.19,PF,2024-08-08 22:47:21
19,bethel,41.3712,-73.414,19.77,94,100,0.89,US,2024-08-08 22:47:22
20,iskateley,67.6803,53.1512,6.17,84,27,1.89,RU,2024-08-08 22:47:23
21,wailua homesteads,22.0669,-159.378,29.24,67,0,5.14,US,2024-08-08 22:47:24
22,smara,26.7384,-11.6719,23.77,57,3,5.7,EH,2024-08-08 22:47:26
23,mugia,43.1041,-9.2179,19.39,89,4,7.07,ES,2024-08-08 22:47:27
24,puerto ayora,-0.7393,-90.3518,22.98,87,83,3.13,EC,2024-08-08 22:47:28
25,georgetown,5.4112,100.3354,28.96,78,20,2.06,MY,2024-08-08 22:47:30
26,lihue,21.9789,-159.3672,29.58,68,0,5.14,US,2024-08-08 22:47:31
27,yellowknife,62.456,-114.3525,23.29,50,20,6.71,CA,2024-08-08 22:47:32
28,masterton,-40.9597,175.6575,8.94,99,100,2.94,NZ,2024-08-08 22:47:34
29,naze,28.3667,129.4833,27.51,76,0,2.04,JP,2024-08-08 22:47:35
30,talnakh,69.4865,88.3972,8.76,73,3,1.71,RU,2024-08-08 22:47:36
31,itoman,26.1247,127.6694,30.05,84,20,3.6,JP,2024-08-08 22:47:37
32,tiksi,71.6872,128.8694,5.21,90,100,5.72,RU,2024-08-08 22:47:39
33,phan rang-thap cham,11.5667,108.9833,25.47,88,57,1.48,VN,2024-08-08 22:47:40
34,college,64.8569,-147.8028,19.33,70,100,4.12,US,2024-08-08 22:47:41
35,carnarvon,-24.8667,113.6333,16.75,52,0,5.77,AU,2024-08-08 22:47:43
36,deogarh,21.5333,84.7333,24.51,97,100,0.81,IN,2024-08-08 22:47:45
37,rabo de peixe,37.8,-25.5833,21.73,78,20,4.12,PT,2024-08-08 22:47:47
38,uturoa,-16.7333,-151.4333,25.89,77,7,3.06,PF,2024-08-08 22:47:48
39,gazipasa,36.2694,32.3179,26.05,83,0,2.06,TR,2024-08-08 22:47:51
40,waitangi,-43.9535,-176.5597,12.12,85,91,3.58,NZ,2024-08-08 22:47:52
41,elkins,38.9259,-79.8467,26.16,73,75,0.89,US,2024-08-08 22:47:53
42,lompoc,34.6391,-120.4579,24.91,72,0,5.66,US,2024-08-08 22:47:54
43,puerto natales,-51.7236,-72.4875,10.25,62,75,11.32,CL,2024-08-08 22:47:56
44,hermanus,-34.4187,19.2345,12.67,82,93,15.52,ZA,2024-08-08 22:47:57
45,cidreira,-30.1811,-50.2056,10.96,92,100,2.61,BR,2024-08-08 22:47:58
46,kerikeri,-35.2268,173.9474,15.51,88,5,0.89,NZ,2024-08-08 22:48:00
47,leshan,29.5623,103.7639,25.82,95,99,0.98,CN,2024-08-08 22:48:01
48,hithadhoo,-0.6,73.0833,27.33,76,100,4.4,MV,2024-08-08 22:48:02
49,avarua,-21.2078,-159.775,24.03,50,20,3.6,CK,2024-08-08 22:45:25
50,bilibino,68.0546,166.4372,12.24,46,29,1.03,RU,2024-08-08 22:48:05
51,akjoujt,19.6969,-14.4164,30.69,44,5,9.95,MR,2024-08-08 22:48:06
52,kapa'a,22.0752,-159.319,29.99,67,0,5.14,US,2024-08-08 22:45:23
53,aasiaat,68.7098,-52.8699,3.33,94,99,1.5,GL,2024-08-08 22:48:09
54,pokhvistnevo,53.6524,52.1274,17.33,82,5,1.69,RU,2024-08-08 22:48:10
55,quang ngai,15.1167,108.8,25.86,80,32,2.29,VN,2024-08-08 22:48:11
56,yelovo,57.0538,54.9207,11.1,86,55,4.08,RU,2024-08-08 22:48:13
57,ayr,55.4627,-4.6339,16.99,94,100,6.17,GB,2024-08-08 22:48:14
58,tyup,42.7276,78.3648,15.73,37,0,1.97,KG,2024-08-08 22:48:15
59,praia da vitoria,38.7333,-27.0667,24.14,83,0,1.15,PT,2024-08-08 22:48:16
60,port douglas,-16.4833,145.4667,21.42,80,36,4.32,AU,2024-08-08 22:44:00
61,york,40.1254,-77.0,23.95,92,100,3.6,US,2024-08-08 22:48:19
62,katsuura,35.1333,140.3,27.84,83,7,5.14,JP,2024-08-08 22:48:20
63,punta arenas,-53.15,-70.9167,7.06,81,100,5.66,CL,2024-08-08 22:46:21
64,fortuna,40.5982,-124.1573,20.52,78,20,5.66,US,2024-08-08 22:48:23
65,la ronge,55.1001,-105.2842,21.14,28,75,3.09,CA,2024-08-08 22:48:24
66,iquique,-20.2208,-70.1431,16.02,84,31,1.47,CL,2024-08-08 22:48:25
67,nemuro,43.3236,145.575,18.83,99,100,3.29,JP,2024-08-08 22:48:27
68,saipan,15.1355,145.701,30.39,74,98,1.54,MP,2024-08-08 22:48:28
69,margaret river,-33.95,115.0667,15.47,79,71,5.07,AU,2024-08-08 22:48:29
70,miri,4.4148,114.0089,25.08,88,40,2.57,MY,2024-08-08 22:48:31
71,midvagur,62.0511,-7.1939,10.46,93,75,3.6,FO,2024-08-08 22:48:32
72,victorica,-36.2151,-65.4359,5.34,46,0,2.25,AR,2024-08-08 22:48:33
73,sitka,57.0531,-135.33,17.94,77,75,2.57,US,2024-08-08 22:48:34
74,haiku-pauwela,20.9219,-156.3051,27.8,67,40,10.8,US,2024-08-08 22:48:36
75,tsiombe,-25.3,45.4833,19.24,77,0,1.78,MG,2024-08-08 22:48:37
76,san antonio de pale,-1.4014,5.6325,22.93,82,100,3.22,GQ,2024-08-08 22:48:38
77,ciudad lazaro cardenas,17.9583,-102.2,30.54,73,62,3.64,MX,2024-08-08 22:48:40
78,cabo san lucas,22.8909,-109.9124,33.99,58,0,6.17,MX,2024-08-08 22:48:41
79,buka,40.8108,69.1986,25.62,21,0,2.32,UZ,2024-08-08 22:48:42
80,kolpashevo,58.3131,82.9089,13.49,80,99,2.98,RU,2024-08-08 22:48:44
